code,name,name_slugs,name_trans,province
A071,Agliana,agliana,Agliana,PT
A072,Agliano,agliano,Agliano,AL
A072,Agliano,agliano,Agliano,AT
A072,Agliano Terme,agliano-terme,Agliano Terme,AT
H848,Aglientu,aglientu,Aglientu,SS
H848,Aglientu,aglientu,Aglientu,OT
H848,Aglientu,aglientu,Aglientu,SS
A074,Agliè,aglie,Aglie',TO
A074,Agliè,aglie,Aglie',AO
A074,Agliè,aglie,Aglie',AO
A074,Agliè,aglie,Aglie',TO
A074,Agliè,aglie,Aglie',TO
A074,Agliè,aglie,Aglie',TO
A075,Agna,agna,Agna,PD
A076,Agnadello,agnadello,Agnadello,CR
A077,Agnana Calabra,agnana-calabra,Agnana Calabra,RC
A078,Agnellengo,agnellengo,Agnellengo,NO
A079,Agnona,agnona,Agnona,NO
A079,Agnona,agnona,Agnona,VC
A080,Agnone,agnone,Agnone,CB
A080,Agnone,agnone,Agnone,CB
A080,Agnone,agnone,Agnone,CB
A080,Agnone,agnone,Agnone,IS
A082,Agnosine,agnosine,Agnosine,BS
A083,Agordo,agordo,Agordo,BL
A084,Agosta,agosta,Agosta,RM
A085,Agra,agra,Agra,CO
A085,Agra,agra,Agra,VA
A085,Agra,agra,Agra,VA
A086,Agrano,agrano,Agrano,NO
A087,Agrate Brianza,agrate-brianza,Agrate Brianza,MI
A087,Agrate Brianza,agrate-brianza,Agrate Brianza,MI
A087,Agrate Brianza,agrate-brianza,Agrate Brianza,MB
A088,Agrate Conturbia,agrate-conturbia,Agrate Conturbia,NO
A089,Agrigento,agrigento,Agrigento,AG
A090,Agrone,agrone,Agrone,TN
A090,Agrone,agrone,Agrone,TN
A091,Agropoli,agropoli,Agropoli,SA
A092,Agugliano,agugliano,Agugliano,AN
A092,Agugliano,agugliano,Agugliano,AN
A093,Agugliaro,agugliaro,Agugliaro,VI
A094,Aias,aias,Aias,AO
A095,Aiba,aiba,Aiba,GO
A095,Aiba,aiba,Aiba,UD
A095,Aiba,aiba,Aiba,GO
A096,Aicurzio,aicurzio,Aicurzio,MI
A096,Aicurzio,aicurzio,Aicurzio,MB
A097,Aidomaggiore,aidomaggiore,Aidomaggiore,CA
A097,Aidomaggiore,aidomaggiore,Aidomaggiore,OR
A098,Aidone,aidone,Aidone,CL
A098,Aidone,aidone,Aidone,EN
A099,Aidussina,aidussina,Aidussina,GO
A099,Aidussina,aidussina,Aidussina,UD
A099,Aidussina,aidussina,Aidussina,GO
A099,Aidussina,aidussina,Aidussina,GO
A100,Aielli,aielli,Aielli,AQ
A102,Aiello Calabro,aiello-calabro,Aiello Calabro,CS
A102,Aiello Calabro,aiello-calabro,Aiello Calabro,CS
A102,Aiello Calabro,aiello-calabro,Aiello Calabro,CS
A103,Aiello Del Friuli,aiello-del-friuli,Aiello Del Friuli,UD
A103,Aiello Del Friuli,aiello-del-friuli,Aiello Del Friuli,UD
A103,Aiello Del Friuli,aiello-del-friuli,Aiello Del Friuli,UD
A103,Aiello Del Friuli,aiello-del-friuli,Aiello Del Friuli,UD
A101,Aiello Del Sabato,aiello-del-sabato,Aiello Del Sabato,AV
A101,Aiello Del Sabato,aiello-del-sabato,Aiello Del Sabato,AV
A101,Aiello Del Sabato,aiello-del-sabato,Aiello Del Sabato,AV
A104,Aiello In Calabria,aiello-in-calabria,Aiello In Calabria,CS
A105,Aieta,aieta,Aieta,CS
A105,Aieta,aieta,Aieta,CS
A106,Ailano,ailano,Ailano,CE
A106,Ailano,ailano,Ailano,BN
A106,Ailano,ailano,Ailano,CE
A107,Ailoche,ailoche,Ailoche,NO
A107,Ailoche,ailoche,Ailoche,VC
A107,Ailoche,ailoche,Ailoche,BI
A108,Aimavilla,aimavilla,Aimavilla,AO
A109,Airasca,airasca,Airasca,TO
A109,Airasca,airasca,Airasca,TO
A110,Airola,airola,Airola,BN
A111,Airole,airole,Airole,IM
A112,Airuno,airuno,Airuno,CO
A112,Airuno,airuno,Airuno,CO
A112,Airuno,airuno,Airuno,LC
A113,Aisone,aisone,Aisone,CN
A114,Aizurro,aizurro,Aizurro,CO
A116,Ala,ala,Ala,TN
A116,Ala,ala,Ala,TN
A116,Ala,ala,Ala,TN
A117,Ala Di Stura,ala-di-stura,Ala Di Stura,TO
A117,Ala Di Stura,ala-di-stura,Ala Di Stura,TO
A118,Alagna,alagna,Alagna,PV
A119,Alagna Valsesia,alagna-valsesia,Alagna Valsesia,NO
A119,Alagna Valsesia,alagna-valsesia,Alagna Valsesia,VC
A120,Alanno,alanno,Alanno,TE
A120,Alanno,alanno,Alanno,PE
A121,Alano Di Piave,alano-di-piave,Alano Di Piave,BL
A122,Alassio,alassio,Alassio,GE
A122,Alassio,alassio,Alassio,SV
A123,Alatri,alatri,Alatri,RM
A123,Alatri,alatri,Alatri,FR
A124,Alba,alba,Alba,CN
A124,Alba,alba,Alba,CN
A124,Alba,alba,Alba,CN
A124,Alba,alba,Alba,CN
A125,Alba Adriatica,alba-adriatica,Alba Adriatica,TE
A126,Albagiara,albagiara,Albagiara,CA
A126,Albagiara,albagiara,Albagiara,OR
A127,Albairate,albairate,Albairate,MI
A128,Albanella,albanella,Albanella,SA
A131,Albano Di Lucania,albano-di-lucania,Albano Di Lucania,PZ
A132,Albano Laziale,albano-laziale,Albano Laziale,RM
A132,Albano Laziale,albano-laziale,Albano Laziale,RM
A129,Albano Sant'Alessandro,albano-sant-alessandro,Albano Sant'Alessandro,BG
A130,Albano Vercellese,albano-vercellese,Albano Vercellese,NO
A130,Albano Vercellese,albano-vercellese,Albano Vercellese,VC
A133,Albanova,albanova,Albanova,NA
A133,Albanova,albanova,Albanova,CE
A134,Albaredo Arnaboldi,albaredo-arnaboldi,Albaredo Arnaboldi,PV
A134,Albaredo Arnaboldi,albaredo-arnaboldi,Albaredo Arnaboldi,PV
A134,Albaredo Arnaboldi,albaredo-arnaboldi,Albaredo Arnaboldi,PV
A137,Albaredo D'Adige,albaredo-d-adige,Albaredo D'Adige,VR
A135,Albaredo Per San Marco,albaredo-per-san-marco,Albaredo Per San Marco,SO
A135,Albaredo Per San Marco,albaredo-per-san-marco,Albaredo Per San Marco,SO
A135,Albaredo Per San Marco,albaredo-per-san-marco,Albaredo Per San Marco,SO
A138,Albareto,albareto,Albareto,PR
A138,Albareto Di Borgotaro,albareto-di-borgotaro,Albareto Di Borgotaro,PR
A139,Albaretto Della Torre,albaretto-della-torre,Albaretto Della Torre,CN
A139,Albaretto Della Torre,albaretto-della-torre,Albaretto Della Torre,CN
A140,Albaretto Valle Di Macra,albaretto-valle-di-macra,Albaretto Valle Di Macra,CN
A142,Albate,albate,Albate,CO
A143,Albavilla,albavilla,Albavilla,CO
A143,Albavilla,albavilla,Albavilla,CO
A144,Albegno,albegno,Albegno,BG
A145,Albenga,albenga,Albenga,GE
A145,Albenga,albenga,Albenga,SV
A145,Albenga,albenga,Albenga,SV
A148,Alber Di Sesana,alber-di-sesana,Alber Di Sesana,TS
A146,Albera Ligure,albera-ligure,Albera Ligure,AL
A146,Albera Ligure,albera-ligure,Albera Ligure,AL
A146,Albera Ligure,albera-ligure,Albera Ligure,AL
A149,Alberobello,alberobello,Alberobello,BA
A150,Alberona,alberona,Alberona,FG
A151,Albes,"albeins, albes",Albes,TN
A151,Albes,"albeins, albes",Albes,TN
A151,Albes,"albeins, albes",Albes,BZ
A152,Albese,albese,Albese,CO
A153,Albese Con Cassano,albese-con-cassano,Albese Con Cassano,CO
A154,Albettone,albettone,Albettone,VI
A155,Albi,albi,Albi,CZ
A155,Albi,albi,Albi,CZ
A155,Albi,albi,Albi,CZ
A158,Albiano,albiano,Albiano,TN
A158,Albiano,albiano,Albiano,TN
A158,Albiano,albiano,Albiano,TN
A158,Albiano,albiano,Albiano,TN
A157,Albiano D'Ivrea,albiano-d-ivrea,Albiano D'Ivrea,TO
A157,Albiano D'Ivrea,albiano-d-ivrea,Albiano D'Ivrea,AO
A157,Albiano D'Ivrea,albiano-d-ivrea,Albiano D'Ivrea,TO
A159,Albiate,albiate,Albiate,MI
A159,Albiate,albiate,Albiate,MB
A160,Albidona,albidona,Albidona,CS
A161,Albignasego,albignasego,Albignasego,PD
A162,Albinea,albinea,Albinea,RE
A163,Albino,albino,Albino,BG
A163,Albino,albino,Albino,BG
A164,Albiolo,albiolo,Albiolo,CO
A166,Albisola Superiore,albisola-superiore,Albisola Superiore,GE
A166,Albisola Superiore,albisola-superiore,Albisola Superiore,SV
A166,Albisola Superiore,albisola-superiore,Albisola Superiore,SV
A165,Albissola Marina,albissola-marina,Albissola Marina,GE
A165,Albissola Marina,albissola-marina,Albissola Marina,SV
A167,Albizzate,albizzate,Albizzate,MI
A167,Albizzate,albizzate,Albizzate,MI
A167,Albizzate,albizzate,Albizzate,VA
A168,Albogasio,albogasio,Albogasio,CO
A169,Albogno,albogno,Albogno,NO
A170,Albona,albona,Albona,PL
A170,Albona,albona,Albona,PL
A170,Albona,albona,Albona,PL
A170,Albona,albona,Albona,PL
A171,Albonese,albonese,Albonese,PV
A172,Albosaggia,albosaggia,Albosaggia,SO
A173,Albugnano,albugnano,Albugnano,AL
A173,Albugnano,albugnano,Albugnano,AT
A175,Albuzzano,albuzzano,Albuzzano,PV
A176,Alcamo,alcamo,Alcamo,TP
A177,Alcara Li Fusi,alcara-li-fusi,Alcara Li Fusi,ME
A178,Aldeno,aldeno,Aldeno,TN
A178,Aldeno,aldeno,Aldeno,TN
A178,Aldeno,aldeno,Aldeno,TN
A178,Aldeno,aldeno,Aldeno,TN
A179,Aldino,"aldein, aldino",Aldino,BZ
A180,Ales,ales,Ales,CA
A180,Ales,ales,Ales,CA
A180,Ales,ales,Ales,CA
A180,Ales,ales,Ales,OR
A180,Ales,ales,Ales,OR
A182,Alessandria,alessandria,Alessandria,AL
A182,Alessandria,alessandria,Alessandria,AL
A182,Alessandria,alessandria,Alessandria,AL
A183,Alessandria Del Carretto,alessandria-del-carretto,Alessandria Del Carretto,CS
A181,Alessandria Della Rocca,alessandria-della-rocca,Alessandria Della Rocca,AG
A184,Alessano,alessano,Alessano,LE
A185,Alezio,alezio,Alezio,LE
A185,Alezio,alezio,Alezio,LE
A186,Alfano,alfano,Alfano,SA
A187,Alfedena,alfedena,Alfedena,AQ
A188,Alfianello,alfianello,Alfianello,BS
A189,Alfiano Natta,alfiano-natta,Alfiano Natta,AL
A189,Alfiano Natta,alfiano-natta,Alfiano Natta,AL
A191,Alfonsine,alfonsine,Alfonsine,RA
A192,Alghero,alghero,Alghero,SS
A193,Algua,algua,Algua,BG
A193,Algua Di Costa Serina,algua-di-costa-serina,Algua Di Costa Serina,BG
A193,Algua Di Costa Serina,algua-di-costa-serina,Algua Di Costa Serina,BG
A195,Alia,alia,Alia,PA
A196,Aliano,aliano,Aliano,PZ
A196,Aliano,aliano,Aliano,MT
A197,Alice Bel Colle,alice-bel-colle,Alice Bel Colle,AL
A198,Alice Castello,alice-castello,Alice Castello,NO
A198,Alice Castello,alice-castello,Alice Castello,VC
A199,Alice Superiore,alice-superiore,Alice Superiore,TO
A199,Alice Superiore,alice-superiore,Alice Superiore,AO
A199,Alice Superiore,alice-superiore,Alice Superiore,AO
A199,Alice Superiore,alice-superiore,Alice Superiore,TO
A199,Alice Superiore,alice-superiore,Alice Superiore,TO
A200,Alife,alife,Alife,CE
A200,Alife,alife,Alife,BN
A200,Alife,alife,Alife,CE
A202,Alimena,alimena,Alimena,PA
A203,Aliminusa,aliminusa,Aliminusa,PA
A204,Allai,allai,Allai,CA
A204,Allai,allai,Allai,OR
A205,Allain,allain,Allain,TO
A205,Allain,allain,Allain,AO
A205,Allain,allain,Allain,AO
A206,Alleghe,alleghe,Alleghe,BL
A205,Allein,allein,Allein,AO
A205,Alleno,alleno,Alleno,AO
A207,Allerona,allerona,Allerona,PG
A207,Allerona,allerona,Allerona,TR
A207,Allerona,allerona,Allerona,TR
A208,Alliste,alliste,Alliste,LE
A209,Alliz,"allitz, alliz",Alliz,TN
A209,Alliz,"allitz, alliz",Alliz,TN
A209,Alliz,"allitz, alliz",Alliz,BZ
A210,Allumiere,allumiere,Allumiere,RM
A211,Alluvioni Cambiò,alluvioni-cambio,Alluvioni Cambio',AL
M397,Alluvioni Piovera,alluvioni-piovera,Alluvioni Piovera,AL
A212,Alma,alma,Alma,CN
A213,Almazzago,almazzago,Almazzago,TN
A213,Almazzago,almazzago,Almazzago,TN
A216,Almenno San Bartolomeo,almenno-san-bartolomeo,Almenno San Bartolomeo,BG
A216,Almenno San Bartolomeo,almenno-san-bartolomeo,Almenno San Bartolomeo,BG
A217,Almenno San Salvatore,almenno-san-salvatore,Almenno San Salvatore,BG
A218,Almese,almese,Almese,TO
A218,Almese,almese,Almese,TO
A218,Almese,almese,Almese,TO
A214,Almè,alme,Alme',BG
A214,Almè,alme,Alme',BG
M305,Almè Con Villa,alme-con-villa,Alme' Con Villa,BG
M305,Almè Con Villa,alme-con-villa,Alme' Con Villa,BG
A219,Alone,alone,Alone,BS
A220,Alonte,alonte,Alonte,VI
M375,Alpago,alpago,Alpago,BL
A221,Alpette,alpette,Alpette,TO
A221,Alpette,alpette,Alpette,AO
A221,Alpette,alpette,Alpette,TO
A222,Alpignano,alpignano,Alpignano,TO
A223,Alseno,alseno,Alseno,PC
A224,Alserio,alserio,Alserio,CO
M386,Alta Val Tidone,alta-val-tidone,Alta Val Tidone,PC
